X Gaze Data, Y Gaze Data, Time 
844,215,18826208
853,216,18826233
854,214,18826241
854,214,18826252
853,215,18826279
854,215,18826285
859,214,18826297
858,215,18826310
859,216,18826319
858,218,18826330
859,218,18826341
860,217,18826356
861,215,18826363
867,212,18826374
901,207,18826387
909,203,18826397
913,197,18826408
915,195,18826419
918,194,18826429
922,193,18826440
926,190,18826451
928,188,18826465
926,188,18826474
922,180,18826485
924,178,18826511
928,165,18826519
923,149,18826530
923,140,18826542
923,137,18826552
923,134,18826564
923,133,18826589
925,130,18826597
923,127,18826608
923,124,18826621
924,125,18826630
924,122,18826641
926,119,18826652
926,118,18826667
928,117,18826675
929,119,18826685
955,121,18826698
967,119,18826708
968,118,18826718
971,117,18826730
975,116,18826744
975,115,18826752
980,113,18826763
980,109,18826790
982,107,18826797
984,106,18826808
991,103,18826821
1005,103,18826830
1017,107,18826841
1019,107,18826852
1028,114,18826863
1029,115,18826874
1030,115,18826885
1035,117,18826899
1035,118,18826907
1035,124,18826918
1037,133,18826945
1037,135,18826952
1036,139,18826963
1034,142,18826975
1033,146,18826985
1035,149,18826997
1036,152,18827023
1035,155,18827030
1034,161,18827041
1034,162,18827054
1033,163,18827063
1033,165,18827074
1032,167,18827100
1032,169,18827108
1032,169,18827118
1036,173,18827131
1045,180,18827141
1050,185,18827151
1055,190,18827178
1057,194,18827185
1060,200,18827197
1061,201,18827209
1062,201,18827218
1062,201,18827229
1063,202,18827256
1071,206,18827263
1101,210,18827274
1102,210,18827286
1108,211,18827296
1109,215,18827307
1109,215,18827333
1107,218,18827341
1104,221,18827351
1105,223,18827365
1104,224,18827374
1103,225,18827384
1103,226,18827397
1104,227,18827407
1104,229,18827418
1104,234,18827430
1103,235,18827444
1099,237,18827451
1099,238,18827463
1100,239,18827475
1100,240,18827484
1100,242,18827496
1100,242,18827521
1099,245,18827529
1099,244,18827541
1099,247,18827553
1099,248,18827563
1099,250,18827574
1099,251,18827600
1099,254,18827607
1099,254,18827618
1100,255,18827631
1100,255,18827641
1100,255,18827651
1100,253,18827678
1102,254,18827684
1102,256,18827696
1101,256,18827709
1101,256,18827718
1101,256,18827729
1101,256,18827756
1102,257,18827763
1109,257,18827774
1133,256,18827788
1147,254,18827796
1157,252,18827807
1160,251,18827819
1161,251,18827829
1162,253,18827840
1162,254,18827866
1161,256,18827874
1161,257,18827884
1160,259,18827898
1161,260,18827907
1161,260,18827917
1160,261,18827930
1159,262,18827940
1157,261,18827951
1158,260,18827963
1158,260,18827976
1159,261,18827984
1159,260,18827996
1159,260,18828007
1159,260,18828022
1158,261,18828029
1158,262,18828040
1159,262,18828053
1159,263,18828062
1158,263,18828073
1157,264,18828084
1157,264,18828099
1157,265,18828106
1159,265,18828117
1162,264,18828131
1167,264,18828140
1180,264,18828151
1187,264,18828178
1205,266,18828184
1208,266,18828195
1223,267,18828209
1223,266,18828217
1222,265,18828229
1222,265,18828240
1221,266,18828255
1221,266,18828262
1221,267,18828273
1220,268,18828287
1221,268,18828296
1221,269,18828306
1223,268,18828318
1224,269,18828329
1223,269,18828340
1222,269,18828351
1222,271,18828365
1222,272,18828373
1222,271,18828384
1223,270,18828411
1244,270,18828417
1257,267,18828429
1271,266,18828442
1274,265,18828450
1275,266,18828462
1275,266,18828473
1277,266,18828489
1276,266,18828495
1272,267,18828506
1272,267,18828520
1269,269,18828529
1269,269,18828540
